"cat_id";"post_id"
"12";"9"
"23";"75"
"21";"7"
"94";"6"
"93";"5"
"95";"3"
"1";"73"
"24";"2"
"10";"72"
"1";"14"
"1";"15"
"17";"16"
"1";"17"
"13";"18"
"1";"18"
"17";"19"
"17";"21"
"95";"22"
"1";"22"
"21";"20"
"1";"20"
"17";"23"
"18";"23"
"5";"25"
"17";"25"
"13";"26"
"1";"24"
"17";"27"
"1";"27"
"17";"28"
"21";"28"
"1";"28"
"17";"29"
"1";"29"
"95";"30"
"1";"30"
"14";"31"
"21";"31"
"95";"31"
"21";"32"
"21";"34"
"1";"33"
"13";"35"
"21";"35"
"21";"36"
"14";"37"
"1";"37"
"5";"38"
"17";"38"
"1";"39"
"1";"40"
"10";"41"
"17";"43"
"13";"44"
"14";"44"
"1";"44"
"10";"45"
"95";"45"
"93";"42"
"95";"42"
"21";"46"
"21";"47"
"21";"48"
"10";"49"
"1";"49"
"1";"50"
"13";"51"
"1";"51"
"21";"52"
"10";"53"
"1";"56"
"24";"71"
"21";"54"
"1";"54"
"13";"55"
"24";"55"
"13";"57"
"1";"57"
"21";"58"
"10";"59"
"1";"60"
"21";"61"
"95";"62"
"10";"63"
"10";"70"
"93";"65"
"93";"66"
"93";"67"
"93";"68"
"93";"64"
"93";"69"
"17";"1"
"18";"1"
"23";"78"
"23";"77"
"1";"77"
"94";"13"
"17";"12"
"18";"11"
"95";"74"
"23";"76"
"95";"10"
"94";"8"
"95";"4"
